ID,Osc_17,Fem_04,ID,Fem_03,Tib_02,ID,Tib_12,Fib_05,ID,Sca_03,Hum_07,ID,Sca_04,Hum_07,ID,Hum_06,Uln_11,ID,Hum_06,Rad_04
ZJO6/560B       ,59.1,49.4,UT20-88         ,86,78,,,,2002-150-I-02,29.1,47.3,,,,2005-103-C,44.7,23.8,,,
ZJO6/582B       ,59.7,47.4,UT20-90         ,79,72,,,,2003-126-X-01,36.3,51.5,,,,2009-130-I-02,40.5,24,,,
ZJO6/628B       ,54.7,46.4,UT21-90         ,85,79,,,,2003-135-I-02,43,47.5,,,,2011-028-I-01,42.6,22.6,,,
ZJO6/644B       ,64.1,54.3,UT24-88         ,86,81,,,,2003-196-I-02,40.5,51.5,,,,2011-078-I-01,48.2,27.5,,,
2001-008-I-01,55.2,43.7,UT27-93,91,84,,,,2003-196-I-03,34,42.3,,,,,,,,,
2002-150-I-02,53.7,47.8,UT2-81          ,89,84,,,,2009-130-I-02,37,42,,,,,,,,,
2003-126-X-02,59.8,49.9,UT2-87          ,89,83,,,,2011-028-I-01,36,49,,,,,,,,,
2003-126-X-01,57.3,47.6,UT2-89          ,90,82,,,,2011-078-I-01,38.6,51,,,,,,,,,
2003-135-I-02,59.8,48.3,UT2-93          ,82,79,,,,,,,,,,,,,,,
2003-196-I-02,61.2,48.5,UT3-87,90,83,,,,,,,,,,,,,,,
2003-196-I-03,51.9,42.41,UT3-90          ,92,81,,,,,,,,,,,,,,,
2005-103-C,55.2,46.1,UT4-89,90,82,,,,,,,,,,,,,,,
2009-130-I-02,63,49,UT4-91          ,81,75,,,,,,,,,,,,,,,
2011-028-I-01,57,48,UT4-92          ,88,79,,,,,,,,,,,,,,,
2011-078-I-01,62.1,51,UT5-95          ,87,81,,,,,,,,,,,,,,,
,,,UT6-86          ,89,83,,,,,,,,,,,,,,,
,,,UT71-3B         ,79,75,,,,,,,,,,,,,,,
,,,UT72-3          ,79,75,,,,,,,,,,,,,,,
,,,UT77-9          ,86,78,,,,,,,,,,,,,,,
,,,UT78-14         ,83,74,,,,,,,,,,,,,,,
,,,UT7-86          ,79,73,,,,,,,,,,,,,,,
,,,UT7-89,85,81,,,,,,,,,,,,,,,
,,,UT79-13         ,80,78,,,,,,,,,,,,,,,
,,,UT82-1          ,82,76,,,,,,,,,,,,,,,
,,,UT82-20         ,84,82,,,,,,,,,,,,,,,
,,,UT84-3          ,86,79,,,,,,,,,,,,,,,
,,,UT85-26         ,90,82,,,,,,,,,,,,,,,
,,,UT85-35         ,87,77,,,,,,,,,,,,,,,
,,,UT86-18         ,85,79,,,,,,,,,,,,,,,
,,,UT87-20         ,83,78,,,,,,,,,,,,,,,
,,,UT88-22         ,75,72,,,,,,,,,,,,,,,
,,,UT8-87,88,80,,,,,,,,,,,,,,,
,,,UT89-18         ,88,79,,,,,,,,,,,,,,,
,,,UT89-23         ,81,76,,,,,,,,,,,,,,,
,,,UT90-29         ,83,77,,,,,,,,,,,,,,,
,,,UT90-44         ,90,84,,,,,,,,,,,,,,,
,,,UT90-8          ,79,75,,,,,,,,,,,,,,,
,,,UT91-10         ,90,84,,,,,,,,,,,,,,,
,,,UT91-30         ,89,79,,,,,,,,,,,,,,,
,,,UT91-34         ,75,74,,,,,,,,,,,,,,,
,,,UT92-15         ,90,82,,,,,,,,,,,,,,,
,,,UT94-10         ,87,83,,,,,,,,,,,,,,,
,,,UT97-185        ,82,74,,,,,,,,,,,,,,,
,,,UT97-20         ,87,79,,,,,,,,,,,,,,,
,,,UT98-13         ,82,79,,,,,,,,,,,,,,,
,,,UT9-88          ,92,85,,,,,,,,,,,,,,,
,,,ZJO6/155B       ,85,82,,,,,,,,,,,,,,,
,,,ZJO6/224B       ,92,84,,,,,,,,,,,,,,,
,,,ZJO6/258B       ,81,77,,,,,,,,,,,,,,,
,,,ZJO6/437B       ,89,83,,,,,,,,,,,,,,,
,,,ZJO6/491B       ,82,77,,,,,,,,,,,,,,,
,,,ZJO6/560B       ,83,81,,,,,,,,,,,,,,,
,,,ZJO6/582B       ,90,84,,,,,,,,,,,,,,,
,,,ZJO6/628B       ,83,79,,,,,,,,,,,,,,,
,,,ZJO6/644B       ,93,82,,,,,,,,,,,,,,,
,,,2001-008-I-01,78,73,,,,,,,,,,,,,,,
,,,2002-150-I-02,79,74,,,,,,,,,,,,,,,
,,,2003-135-I-02,86,81,,,,,,,,,,,,,,,
,,,2003-135-I-04,83,76,,,,,,,,,,,,,,,
,,,2003-196-I-02,84,79,,,,,,,,,,,,,,,
,,,2005-103-C,87,82,,,,,,,,,,,,,,,
,,,2011-028-I-01,84,79,,,,,,,,,,,,,,,
,,,2011-078-I-01,89,84,,,,,,,,,,,,,,,
