id,Side,Element,Cla_01,Cla_04,Cla_05,Cla_06,Cla_07,Cla_08,Cla_09,Sca_01,Sca_02,Sca_03,Sca_04,Sca_05,Hum_01,Hum_02,Hum_03,Hum_04,Hum_05,Hum_06,Hum_07,Hum_08,Hum_09,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Uln_01,Uln_02,Uln_03,Uln_04,Uln_05,Uln_06,Uln_07,Uln_08,Uln_09,Uln_10,Uln_11,Osc_01,Osc_02,Osc_03,Osc_04,Osc_05,Osc_06,Osc_07,Osc_08,Osc_09,Osc_10,Osc_11,Osc_12,Osc_13,Osc_14,Osc_15,Osc_16,Osc_17,Fem_01,Fem_02,Fem_03,Fem_04,Fem_05,Fem_06,Fem_07,Fem_08,Fem_09,Fem_10,Fem_11,Fem_12,Fem_13,Fem_14,Fem_15,Fem_16,Fem_17,Fem_18,Fem_19,Tib_01,Tib_02,Tib_03,Tib_04,Tib_05,Tib_06,Tib_07,Tib_08,Tib_09,Tib_10,Tib_11,Tib_12,Tib_13,Tib_14,Tib_15,Tib_16,Fib_01,Fib_02,Fib_03,Fib_04,Fib_05
46,left,Radius,,,,,,,,,,,,,,,,,,,,,,205,,,21.7,11.1,14.8,19,17.7,10.1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,left,Radius,,,,,,,,,,,,,,,,,,,,,,224,,,27,11.3,17.2,20.3,18.7,12.3,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,left,Radius,,,,,,,,,,,,,,,,,,,,,,255,,,22,12,16,18.6,18,11.8,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,left,Radius,,,,,,,,,,,,,,,,,,,,,,256,,,22.2,13,17,18.2,15.9,10.3,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,left,Radius,,,,,,,,,,,,,,,,,,,,,,232,,,24.1,13,18,19,19.7,11.9,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,left,Radius,,,,,,,,,,,,,,,,,,,,,,226,,,24.6,10,14,21,18.4,11.3,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,left,Radius,,,,,,,,,,,,,,,,,,,,,,234,,,22.9,11,15,18.8,16.7,10.2,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,left,Radius,,,,,,,,,,,,,,,,,,,,,,253,,,25.1,13,18,17.5,17.6,11,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,left,Radius,,,,,,,,,,,,,,,,,,,,,,269,,,23.4,14,16,19.3,18.9,12.3,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,left,Radius,,,,,,,,,,,,,,,,,,,,,,247,,,25.2,13,18,20.3,21.4,12.3,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,left,Radius,,,,,,,,,,,,,,,,,,,,,,253,,,25.2,13,17,20.9,20.8,11.6,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,left,Radius,,,,,,,,,,,,,,,,,,,,,,253,,,23.8,13,18,21.2,20.6,12.2,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,left,Radius,,,,,,,,,,,,,,,,,,,,,,241,,,25.8,13,17,18.2,18.6,12.6,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,left,Radius,,,,,,,,,,,,,,,,,,,,,,235,,,24,11,8,21.4,18.9,12.7,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,left,Radius,,,,,,,,,,,,,,,,,,,,,,229,,,27.9,14,17,22.5,19.2,12.6,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,left,Radius,,,,,,,,,,,,,,,,,,,,,,248,,,23.2,14,17,17,16.8,10.2,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,left,Radius,,,,,,,,,,,,,,,,,,,,,,253,,,23.5,12,17,18.7,16.5,11.3,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,left,Radius,,,,,,,,,,,,,,,,,,,,,,230,,,22.9,9,14,16.9,18.4,9.9,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Right,Radius,,,,,,,,,,,,,,,,,,,,,,313,,,19.6,15.1,19.3,15.7,14.3,9.1,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Right,Radius,,,,,,,,,,,,,,,,,,,,,,217,,,21.4,9.7,13.4,16.8,17.3,10.9,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Right,Radius,,,,,,,,,,,,,,,,,,,,,,208.5,,,21.6,11.7,15.4,19.1,18.2,9.6,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Right,Radius,,,,,,,,,,,,,,,,,,,,,,226,,,27.1,11,16.9,19.9,19.7,13,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Right,Radius,,,,,,,,,,,,,,,,,,,,,,258,,,23.9,13,16,17.8,20,11.8,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Right,Radius,,,,,,,,,,,,,,,,,,,,,,251,,,22.7,14,18,18.1,15.9,10.4,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Right,Radius,,,,,,,,,,,,,,,,,,,,,,233,,,25.5,12,18,19.3,20.1,12.1,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Right,Radius,,,,,,,,,,,,,,,,,,,,,,228,,,24.8,11,15,21,18.4,10.6,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Right,Radius,,,,,,,,,,,,,,,,,,,,,,232,,,23,11,16,19.1,17.4,10.4,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Right,Radius,,,,,,,,,,,,,,,,,,,,,,252,,,24.9,13,18,18.5,18.5,11.9,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Right,Radius,,,,,,,,,,,,,,,,,,,,,,271,,,22.4,14,16,18.6,19,12.8,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Right,Radius,,,,,,,,,,,,,,,,,,,,,,240,,,24.9,13,19,19.8,22.1,11.7,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Right,Radius,,,,,,,,,,,,,,,,,,,,,,255,,,24.6,13,17,21,20.3,11.5,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Right,Radius,,,,,,,,,,,,,,,,,,,,,,254,,,24.3,14,17,22.1,20.4,12.6,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Right,Radius,,,,,,,,,,,,,,,,,,,,,,257,,,25.4,13,17,18.9,18.7,12.8,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Right,Radius,,,,,,,,,,,,,,,,,,,,,,233,,,24.7,11,9,20.7,18.1,12.3,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Right,Radius,,,,,,,,,,,,,,,,,,,,,,231,,,27.1,14,18,21.2,18.9,12.5,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Right,Radius,,,,,,,,,,,,,,,,,,,,,,249,,,23.4,13,16,17.8,17,10.2,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
